,description,id,created_on,status,project,author,subject,cliente
326,Ajuste de atalho,9203,29/1/2021,Fechada,Suporte Técnico,Ana,Ajuste de atalho,MATERIAIS DE CONSTRUCAO AFONSO PENA
327,Liberação de Acesso ,7801,2/10/2020,Fechada,Suporte Técnico,Ana,Liberação de Acesso ,MASSA
328,Ana consegue me ajudar numa nota de devolução,7802,2/10/2020,Fechada,Suporte Técnico,Ana,auxilio  nota de devolução,LINHACO
329,Alteração de logo,9202,29/1/2021,Fechada,Suporte Técnico,Ana,Alteração de logo,HIGI LUX PROTECT
330,Liberação de Acesso,7803,5/10/2020,Fechada,Suporte Técnico,Ana,Liberação de Acesso,LANCASTER PARTICIPAÇÕES E EMPREENDIMENTOS TURISTICOS LTDA
331,"Na semana passada foi emitida uma nota fiscal porém essa nota acabou sendo cancelada no sistema por engano pois a nota está correta, nesse caso não teria alguma opção no sistema que pudéssemos restaurar ela?",7804,5/10/2020,Fechada,Suporte Técnico,Ana,Duvida nota estornada,PROFFIX COMERCIO DE EQUIPAMENTO MÉDICOS E HOSPITALARES LTDA
332,Ajuste de Certificado ,7805,5/10/2020,Fechada,Suporte Técnico,Ana,Ajuste de Certificado,CASA DOS VARAIS
333,Erro no NFE,7806,5/10/2020,Fechada,Suporte Técnico,Ana,Erro no NFE,LINHACO
334,Ajuste de Layout de Pedido,8008,20/10/2020,Fechada,Suporte Técnico,Ana,Ajuste de Layout de Pedido,BIOCRYSTAL
335,Liberação para alteração de preço na venda rapida,8009,20/10/2020,Fechada,Suporte Técnico,Ana,Liberação para alteração de preço,DESTAK PAPELARIAS
336,Cliente relata que nao esta conseguindo abrir o masternfe,8011,20/10/2020,Fechada,Suporte Técnico,Ana,Nao esta acessando o nfe,MAGARI FASHION COMERCIO DE VESTUARIO LTDA
337,"Cliente entrou em contato, pois de acordo com a t.i o sistema apos a ultima atualização estava consumindo 100% da memoria do servidor
",9201,29/1/2021,Fechada,Suporte Técnico,Ana,Reiniciar o firebird,PEGAZA COMERCIO DE PLASTICOS E ESPUMAS
338,Cliente solicita ajuda com a emissão da NF,8010,20/10/2020,Fechada,Suporte Técnico,Elaine,Ajuda com a emissão da NF,REALMAD CR3
339,"Cliente relatou que ao importar XML da Ortobio alguns produtos estão sendo apresentados como Arruela, porem, o mesmo não tem essa descrição.",8012,20/10/2020,Fechada,Suporte Técnico,Elaine,Entrada de Mercadorias - XML,ORTONORTE ORTESE E PROTESE LTDA
340,Cliente entrou em contato relatando que o sistema está apresentando muita lentidão chegando a travar a tela.,9480,19/2/2021,Fechada,Suporte Técnico,Elaine,Sistema travando,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
341,Por Gentileza disponibilizar script para atualizar a tabela do ibpt do sistema do Masterfix para o estado de São Paulo,9204,29/1/2021,Fechada,Suporte Técnico,Ana,Script do ibpt SP,TITANIUM
342,Duvida emissão de nota com icms,9206,29/1/2021,Fechada,Suporte Técnico,Ana,Duvida emissão de nota,GS CAMPOS DISTRIBUIDORA DE ALIMENTOS
343,Nota nã estava apresentando valor difal,9205,29/1/2021,Fechada,Suporte Técnico,Elaine,Auxilio emissão de nota do difal,SANDIPEL COM.DE SUP.MAQ.E ASS.TECNICA LTDA
344,Ao enviar a nota está apresentando erro da tabela ibpt,9487,19/2/2021,Fechada,Suporte Técnico,Ana,Tabela do ibpt,ARTROFIX LONDRINA
345,"Cliente precisava de ajuda pra emitir nota de retorno.
",8013,20/10/2020,Fechada,Suporte Técnico,Elaine,Ajuda com a emissão da NF,MAGSON CONFECÇOES
346,"Nao esta enviando a nota da ROI apresenta erro "" Certificado sem cnpj""",8014,21/10/2020,Fechada,Suporte Técnico,Ana,Ajuste de Certificado,PERFORMANCE
347,Ao enviar a nota fiscal cliente relata que esta apresentando erro de cst no item 14,8665,8/12/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota,SVERDI
348,"O pc foi formatado e como não foi feito backup, pegamos a ultima base que eles tinham salvo e ajustamos a numeração da nota consumidor",8015,21/10/2020,Fechada,Suporte Técnico,Ana,AJuste NFC,VALLE GAS
349,Ao emitir a nota estava apresentando mensagem de que a soma dos impostos de ipi esta diferente do calculado,8664,8/12/2020,Fechada,Suporte Técnico,Elaine,Nota devolução X Impostos,IMPLANEWS - BETHA IMPLANTES
350,"Atualizar #7415,#6897,#6898",7626,15/9/2020,Fechada,Suporte Técnico,Andre,Versao V20.09.01,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
351,esta apresentando erro de duplicidade de nota,8017,21/10/2020,Fechada,Suporte Técnico,Ana,Duplicidade de Nota ,REABILIT
352,Cliente solicita ajustes ,8016,21/10/2020,Fechada,Suporte Técnico,Elaine,Ajustes de funcionalidade do sistema,TRAVESSIA GUARATUBA
353,Nao estou conseguindo enviar email pela empresa SF,7630,16/9/2020,Fechada,Suporte Técnico,Ana,Email,MATERCONS CURITIBA
354,Preciso de um auxilio numa nfe,7631,16/9/2020,Fechada,Suporte Técnico,Ana,ajuste de nota,GS MOVEIS DE VIME LTDA
355,Atualizar #7359,7628,15/9/2020,Fechada,Suporte Técnico,Andre,Versao V20.09.01,ARTROFIX LONDRINA
356,Atualizar #7303,7629,15/9/2020,Fechada,Suporte Técnico,Andre,Versao V20.09.01,MEDICA BRASIL
357,Atualizar #7358,7627,15/9/2020,Fechada,Suporte Técnico,Andre,Versao V20.09.01,PROFFIX COMERCIO DE EQUIPAMENTO MÉDICOS E HOSPITALARES LTDA
358,"Olá, precisamos de alteração no layout.
Vejam o modelo em anexo... produtos cortados de uma pagina a outra e valor final... sem comentários...
Aguardamos urgente para encaminhar ao cliente.

Grata",7808,5/10/2020,Fechada,Suporte Técnico,Ana,: Layout Orçamento,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
359,"Olá, bom dia!

 

Por verificar a somatória dos grupos do orçamento conforme tela abaixo:

Para as despesas no campo realizado é para puxar todas as contas com status “pagos e baixados do contas a pagar” verificando alguns exemplos esta somando despesas que não existe no contas a pagar e e informando no total do grupo. Por exemplo: do centro de custo BIOPARK no mês de março no grupo veículos tem o valor de R$ 566,35 e no total R$ 2.259,22. Para este projeto não tem mais nada pago neste grupo de contas para o projeto BIOPARK. Para este mesmo projeto esta com diferença em vários meses.

Esta muito estranho, quando gero o relatório de contas pagas do mês e gero do fluxo de caixa o realizado fecha com os pagamentos. Conforme anexo. Dei uma olhada e não se trata de contas que não esta liberada na tela de orçamento.

Por favor, verificar com urgência os lideres usam de forma diária esta parte do sistema.

BASE DISPONÍVEL EM: https://drive.google.com/drive/folders/1SuomsWpWgQ4RGs5BeDzKgwlBncYi439-?usp=sharing",7274,22/7/2020,Fechada,Suporte Técnico,Ana,Somatório tela de orçamento e fluxo de caixa,COMPANHIA AMBIENTAL
360,Cadastro novo usuario e pedido ja faturado,7669,22/9/2020,Fechada,Suporte Técnico,Ana,Cadastro novo usuario e pedido ja faturado,MATERCONS CAMPO MOURÃO
361,Caiu novamente o sistema,7670,22/9/2020,Fechada,Suporte Técnico,Ana,Caiu o sistema,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
362,estou enviando uma nota e esta dando erro,7668,22/9/2020,Fechada,Suporte Técnico,Ana,auxilio  nota de devolução,MASSA
363,falha no schema do xml,7671,22/9/2020,Fechada,Suporte Técnico,Ana,falha no schema do xml,IMPLANEWS - BETHA IMPLANTES
364,poderia ajustar umas coisas no programa,7673,22/9/2020,Fechada,Suporte Técnico,Ana,ajustes no programa,EATFIT
365,reiniciado o nfe ,7674,22/9/2020,Fechada,Suporte Técnico,Ana,reiniciado o nfe,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
366,reiniciado o nfe,7672,22/9/2020,Fechada,Suporte Técnico,Ana,reiniciado o nfe,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
367,foi alterado a rede e preciso alterar o sistema,7667,22/9/2020,Fechada,Suporte Técnico,Ana,Alteração na rede,RG LOCAÇÃO DE EMPILHADEIRAS LTDA
368,Poderia me auxiliar em uma nota com icms de diferimento,7675,22/9/2020,Fechada,Suporte Técnico,Ana,auxilio  nota fiscal,OPTICA AVANCO E HOFFMAN LTDA
369,Ajuste de atalho na maquina da Karina,7677,23/9/2020,Fechada,Suporte Técnico,Ana,Ajuste de atalho,METAL BRASIL
370,Ana estou faturando uma nota e apresenta erro de EAN ,7678,23/9/2020,Fechada,Suporte Técnico,Ana,erro de EAN,MADECO
371,"Estou fazendo a reposição, porém está dando essa mensagem",7679,23/9/2020,Fechada,Suporte Técnico,Ana,Erro de reposição,BURBELA PRODUTOS MEDICOS
372,"Ana, tem algum jeito de alterar a empresa que foi lançado o pedido? Por ex, eu lancei um pedido pela Hands, mas era pra lançar pela gs",7684,23/9/2020,Fechada,Suporte Técnico,Ana,Duvida ,GS MOVEIS DE VIME LTDA
373,Windows Atualizou e deletou o firebird,7683,23/9/2020,Fechada,Suporte Técnico,Ana,Windows Atualizou,TRUCK CENTER
374,auxilio  nota complementar,7685,23/9/2020,Fechada,Suporte Técnico,Ana,auxilio  nota complementar,VERITAS COMERCIO PRODUTOS MEDICOS HOSPITALARES
375,Ajuste no layout de pedido  de venda,7686,24/9/2020,Fechada,Suporte Técnico,Ana,Ajuste de Layout de Pedido,GS MOVEIS DE VIME LTDA
376,"Tem alguns itens que eu preciso excluir do sistema, como faço",7687,24/9/2020,Fechada,Suporte Técnico,Ana,duvida de produto,KFK RACING MOTO PECAS LTDA.
377,"Cliente solicita a visualização do valor individual do IPI na nota de devolução.

Quando o cliente está emitindo uma nota de devolução na coluna IPI do danfe não mostra valor do IPI individual do item, essa informação é visualizada somente no totalizador.

OBS: Já foi explicado ao cliente que o sistema está de acordo com a legislação.",7819,6/10/2020,Fechada,Suporte Técnico,Elaine,Impostos na nota de devolução,PROFFIX COMERCIO DE EQUIPAMENTO MÉDICOS E HOSPITALARES LTDA
378,Ajustei o caminho do nfe,9210,29/1/2021,Fechada,Suporte Técnico,Ana,nao esta enviando a nfe,TITANIUM
379,"Estou tentando cadastrar um fornecedor de São Paulo e a inscrição estadual diz que tem erro, mas não tem. O que faço? Não é a primeira vez que acontece isto",7689,24/9/2020,Fechada,Suporte Técnico,Ana,Duvida no cadastro ,LASSALE JOIAS
380,"Ana estou com uma Nota que esta pendente, poderia me auxiliar",7818,6/10/2020,Fechada,Suporte Técnico,Ana,Nota esta pendente,LANCASTER PARTICIPAÇÕES E EMPREENDIMENTOS TURISTICOS LTDA
381,"Bom dia, tudo bem?, onde vou para alterar o CSOSN?",7820,6/10/2020,Fechada,Suporte Técnico,Ana,Auxilio alteraçao de csosn,RMP ESTAMPARIA E METALURGICA
382,"A/ c  Master cim
 

Bom Dia!
 

Não conseguimos emitir as notas de serviço.
Foi atualizado, reiniciado a nfe e nada.
Segue mensagem
Aguardo retorno",7817,6/10/2020,Fechada,Suporte Técnico,Ana,Nota de serviço,ENERGY
383,"<pre>
Bom dia,
Favor verificar erro no SPED FISCAL, mesmo erro de meses anteriores.
366 ERROS – unidade de medida.


Fico no aguardo
</pre>


Cliente esta relatando que ao gerar o arquivo do sped fiscal esta apresentando erro, solicitei a conexão para pegar a base e validar",7821,6/10/2020,Fechada,Suporte Técnico,Ana,SPED CONTRIBUIÇÕES / SPED FISCAL SETEMBRO 2020,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
384,Ajuste de atalho,9213,29/1/2021,Fechada,Suporte Técnico,Ana,Ajuste de atalho,MATERIAIS DE CONSTRUCAO AFONSO PENA
385,"Base disponível em: https://drive.google.com/drive/folders/1foFSmCKnoZzBTi_noc9hPRUXU1oo2r6Z?usp=sharing

Movimentação - Pedido de Venda - Faturados
Nota nº 5948

Ao imprimir a nota 5948, no layout todos os itens estão puxando a ncm 90211020, e no xml puxou corretamente cada ncm, mas na impressão sai incorreto.

!implanews.png!",8363,17/11/2020,Fechada,Suporte Técnico,Ana,NCM na Danfe,IMPLANEWS - BETHA IMPLANTES
386,"Deverá ser realizado o processo de importação dos cadastros da base de dados do sistema MasterCIM da loja Cajuru para o banco de dados da loja Marechal. 
Os cadastros a serem importados:
-Produtos e tabelas vinculadas (grupos, subgrupos, unidades, marcas, classificação fiscal, preços e custos e outras que contenham dados relevantes)
-Tabelas de preços
Deve ser excluído as informações atualmente contidas na base de dados da loja Marechal que sejam das tabelas mencionadas e manter somente as informações novas dos produtos.
Demais informações de cadastros e configurações contidas na base de dados da loja Marechal devem ser mantidas pois são essas as informações corretas para utilização do sistema.
Os bancos de dados a serem utilizados estão no servidor da empresa e foi optado por não fazer copias antecipadamente para garantir que as informações fiquem o quanto mais atualizadas conforme o dia que for optado pela programação de realizar o procedimento.

Banco Loja CAJURU base para buscar as informações: C:\CDM1
Banco Loja MARECHAL base para receber as informações: C:\CDM2

Acesso ao servidor:
1- Acessar o Anydesk
Id: 565678428
senha: Pegaza@123

2- Logar no Servidor (Ctrl+Alt+Del)
user: administrador
senha: pegaza@2020

A intenção do cliente é de dar inicio ao utilização dos sistemas na segunda feira (26/10) na loja Marechal e que para isso será realizado na sexta feira a noite as configurações necessárias para o funcionamento do sistema, assim terão o sábado para se necessário realizar alguma validação. Assim sendo esse trabalho deverá ocorrer até essa data. Esta sendo solicitado por Angelize para que seja migrado as informações da base de dados de produtos e seus respectivos preços para a base da loja Marechal. 
A base de dados da loja Marechal foi inicialmente importada usando as informações do banco de dados do sistema terceiro atualmente utilizado pela loja, mas agora isso será mudado pelo cliente, será mantido todas as outras informações e aproveitado o cadastro de produtos da loja que atualmente já utiliza os sistemas.",8005,20/10/2020,Fechada,Suporte Técnico,Cleverson,Importação de Cadastro de Produtos da base de dados da Pegaza loja Cajuru para base de dados da loja Marechal,PEGAZA COMERCIO DE PLASTICOS E ESPUMAS
387,Cliente  ligou solicitando a atualização do sistema,8018,21/10/2020,Fechada,Suporte Técnico,Elaine,Atualização do sistema,BIOFIX
388,Atalho em uma nova maquina,9614,1/3/2021,Fechada,Suporte Técnico,Ana,Atalho novo,DDN CONFECCOES
389,Liberação de Acesso,8019,21/10/2020,Fechada,Suporte Técnico,Ana,Liberação de Acesso,CROMOS MAT. FOTOGRAFICO LTDA
390,Estou com uma duvida em como realizar o acerto de estoque pelo sistema,8020,21/10/2020,Fechada,Suporte Técnico,Ana,Duvida acerto de estoque ,HS IMPLANTES
391,"Cadastro - Produtos - Produtos -  relatório personalizado

Ao gerar o relatório personalizado de tela com as seguinte informações:
° Código do produto
° Título (Descrição)
° Custo
° Preço de venda
° Grupo do produto
° Marca do produto

Ao chegar na pagina 70 apresenta erro de FALHA CATASTROFICA, por mais que tire com poucas informações ele trava 

Base disponivel em:https://drive.google.com/drive/folders/1th2-F2grfAQS7W5H37xiqkqSw7kVpY4b?usp=sharing",8003,20/10/2020,Fechada,Suporte Técnico,Ana,Otimização do Relatório de Tela,MATERCIC
392,"Pela manha cliente entrou em contato que nao estava registrando os boletos no banco "" Os PROBLEMAS nas REMESSAS BANCARIAS continuam, consegue verificar porque esta ocorrendo isso, Os Boletos não estão REGISTRANDO;"", Foi atualizado o sistema para a versão V20.09.01 pedi que ele limpasse os boletos e enviasse novamente na nova versão, mas ele nao esta aceitando pois de acordo com ele são mais de 2mil boletos 
"" [15:50, 17/09/2020] Josemar: Não acredito, como vou fazer isso! Vocês só podem estar de sacanagem...
 [15:50, 17/09/2020] Josemar: Isso não é correto e nem normal, por favor!""

Base e arquivos disponivel em: https://drive.google.com/drive/folders/1NHNMtLX2Ijalp7SCXXHtXZHJzt1ouYTI?usp=sharing",7642,17/9/2020,Fechada,Suporte Técnico,Ana,Nao esta registrando os Boletos,FARMATEX DO BRASIL S/A
393,estou com uma nota com erro de emissão ,8021,21/10/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota,LASSALE JOIAS
394,Nao consigo colocar o campo do preço de compra na tela,8022,21/10/2020,Fechada,Suporte Técnico,Ana,Ajuste de campo,BIOCRYSTAL
395,"Base disponível em: https://drive.google.com/drive/folders/1QfvFuYVlZf6_uA2ZJDopaqtz9ZyPMRne?usp=sharing

Relatórios - Produtos - Estoque 

Ao abrir pela primeira vez o relatório, fica  uma informação quebrada ate terminar de carregar o relatório, após terminar de carregar o ultimo produto da primeira pagina, também apresenta na segunda pagina. 

Mas se fechar a tela e abrir novamente não apresenta duplicado o ultimo produto.

!rel_estoque.png!
!pag1.png!
!pag2.png!",9325,9/2/2021,Fechada,Suporte Técnico,Ana,Bug Relatorio de Estoque,PICKER IMPLANTES LTDA
396,"Base e certificado  disponivel em: https://drive.google.com/drive/folders/17LOtNUwl9fipQ_vyjPKOUX6V2yApYSoP?usp=sharing

Cliente está tentando gerar algumas nfs, e está apresentando a seguinte rejeição: ""Ocorreu um erro de conversão. A Natureza de Operação informada, não e permitida para a atividade informada. - POSICAO RPS - 1. Correção: Informe uma Natureza de Operação permitida para a atividade informada.""

Notas que não foram autorizadas: 
!notas_super.png!

Abaixo esta um link que achei com o possivel erro, não sei se tem algo haver

https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360037641974-Documenta%C3%A7%C3%A3o-T%C3%A9cnica-Padr%C3%A3o-CURITIBA",9608,1/3/2021,Fechada,Suporte Técnico,Ana,NFS - Não processada,SUPER CARGA
397,Cliente não estava conseguindo gravar PDF após a atualização do sistema.,8024,21/10/2020,Fechada,Suporte Técnico,Elaine,Permissão perdida na atualização do sistema,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
398,"_Fala meu amigo, tudo bem? Escute, preciso que tire esta validade do orçamento. Não está dando para mantermos.
Pensei ser regulável nos parâmetros, mas não mudou no orçamento.
Aproveita e diminui a fonte no campo de observações. Tá desproporcional às outras fontes._

",8026,21/10/2020,Fechada,Suporte Técnico,Cleverson,Ajustar campos nos layouts de impressão dos orçamentos de vendas,MATERCIC
399,Nao estou conseguindo colocar o desconto em uma nota vindo de venda rapida,8027,22/10/2020,Fechada,Suporte Técnico,Ana,Desconto na NFE de  Venda Rapida,KALARRAM MODAS
400,Estou com uma nota consumidor que esta dando duplicidade novamente e só tem um nfe aberto,8028,22/10/2020,Fechada,Suporte Técnico,Ana,Duplicidade de Nota ,REABILIT
401,Esta saindo o cabeçalho duas vezes na impressão do pedido,8031,22/10/2020,Fechada,Suporte Técnico,Ana,Ajuste de Layout de Pedido,LINHACO
402,"Esta apresento a mensagem de ""Erro verifique a conexão""",8032,22/10/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota,IMPLANEWS SURGICAL
403,Cliente relatou que o sistema está puxando incorretamente o Lote ao importar as informações do XML.,8029,22/10/2020,Fechada,Suporte Técnico,Elaine,Erros na importação do XML,ORTONORTE ORTESE E PROTESE LTDA
404,Cliente deseja ajuda no compartilhamento de uma unidade de rede.,8030,22/10/2020,Fechada,Suporte Técnico,Elaine,Ajuda no compartilhamento da Unidade de Rede,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
405,"Cliente precisa trocar o sistema de servidor
Cliente GNATUS",8025,21/10/2020,Fechada,Suporte Técnico,Elaine,Alterar sistema de Servidor,MASTERCIM
406,"Cliente emitiu na sexta-feira uma nota de exportação, e o cliente dele exige que saiam na danfe o Peso líquido e total de cada peça, Achei na configuração do layout apenas o campo de PESO BRUTO TOTAL E PESO LIQUIDO TOTAL.

Como realizar a configuração para que saiam os pesos por item ?",7996,19/10/2020,Fechada,Suporte Técnico,Ana,Nota de Exportação,LINHACO
407,"Menu - Cadastro -  Produtos - Produtos 
Campo - Código de barras.

Menu - Movimento - Caixa Venda Rápida
Quando efetuada a venda e utilizada a opção do leitor do código de barras o sistem só reconhece quando este código está inserido no campo do código de Fabricante.
Existe a possibilidade de ao utilizar o leitor o sistema buscar pelo campo do código de barras?",8023,21/10/2020,Fechada,Suporte Técnico,Elaine,Duvidas referente a opção do código de barras,CASA DA OBRA
408,Liberação para desconto,8663,8/12/2020,Fechada,Suporte Técnico,Ana,Liberação para desconto,LANCASTER PARTICIPAÇÕES E EMPREENDIMENTOS TURISTICOS LTDA
409,Cliente solicita troca do certificado,8033,22/10/2020,Fechada,Suporte Técnico,Elaine,Ajuste no certificado ,CASA DA OBRA
410,Estou com uma nota que esta apresentando DENEGADA e acaba estornando ela automatico,8035,22/10/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota,GS MOVEIS DE VIME LTDA
411,"Ontem cliente perdeu todos os arquivos da pasta do sistema, inclui o layout padrão do sistema, mas de acordo com o a cliente ela precisa do layout pequeno com algumas outras alterações",8666,8/12/2020,Fechada,Suporte Técnico,Ana,Layout Pedido de Venda,MADECO
412,"Cliente gostaria de zerar a numeração e apagar as ordem de serviço que constam em fechadas, para começar do zero;

Existe alguma comando para realizar esse processo ?",8602,2/12/2020,Fechada,Suporte Técnico,Ana,Duvida estoque,FIXAR IND.COM.KITS AR CONDICIONADO LTDA
413,Nao estou conseguindo cadastrar uma nova entidade do estado de GO,8036,22/10/2020,Fechada,Suporte Técnico,Ana,Cadastro de estado,KN MAQUINAS
414,"Fala meu nobre. Putz, resolvemos que seria melhor manter uma validade do orçamento, mas com o seguinte dizer:
""ORÇAMENTO VÁLIDO SOMENTE PARA O DATA DE HOJE""",8037,22/10/2020,Fechada,Suporte Técnico,Cleverson,Ajustar mensagem nos layouts de orçamentos de Vendas,MATERCIC
415,Entrou em contato solicitando auxilio para criar alguns campos de resultado para analise gerencial customizada do cubo.,8038,22/10/2020,Fechada,Suporte Técnico,Cleverson,Criar campos de calculo para resultados percentuais em analise do Cubo,GDS - GESSO E DECORACOES
416,Ajuste na impressora de etiqueta de O.C,9601,26/2/2021,Fechada,Suporte Técnico,Ana,Etiqueta de O.C,BAGNOLIN
417,Não estou conseguindo gerar email,9765,11/3/2021,Fechada,Suporte Técnico,Ana,Envio de e-mail,NOVA FASE
418,"Boa tarde  Ana,
Número NF esta diferente com o número da Fatura.
Nº NF  110816  - Nº fatura 110815 - emissão 05/10/2020",7822,6/10/2020,Fechada,Suporte Técnico,Ana,Número NF e Numero Fatura diferentes ,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
419,"Menu - Movimentações - Saídas - Requisições de Materiais
Em modo lista seleciono a RM e clico no botão de Check List, na tela de Ligação RM - Kit cliclo novamente no botão de Check List.

!RM.png!

Ao imprimir o relatório de Check List o sistema apresenta o mesmo para conferencia dos itens, nesse o cliente consegue saber o que foi Quantidade (Quando informada), Utilizado, Danificado, Doado e Pendente.

!Relatorio.png!

O cliente precisa saber a quantidade de item 'Livres 'ou seja aqueles que ainda estão disponíveis para serem utilizados nessa RM. Segundo cliente existia um relatório em que eram impressos somente essas os itens com as quantidades livres para utilização e o mesmo não existe mais.

Base disponível em: https://drive.google.com/file/d/1O3aJjPhUUXWQy3zX27j7aK9Y7M8E2Axi/view?usp=sharing
 ",9162,27/1/2021,Fechada,Suporte Técnico,Elaine,Relatório de RM,PROFFIX COMERCIO DE EQUIPAMENTO MÉDICOS E HOSPITALARES LTDA
420,"Prezados ficou definido que,
As lojas não terão mais base de dados e pastas de instalações separadas, assim sendo ambas utilizarão o banco de dados que é atualmente da Loja Cajuru instalado na pasta CDM1. Isso se dará pelo fato de que foi notada a necessidade de unificação dos cadastros de produtos como sendo primordial para a operacionalização do sistema e que também a unificação dos cadastros de entidades será benéfica para o negócio.
",8039,22/10/2020,Fechada,Suporte Técnico,Cleverson,Solicitação de unificação das bases de dados entre as Lojas Cajuru e Marechal. ,PEGAZA COMERCIO DE PLASTICOS E ESPUMAS
421,"é possível tirar um relatório de contas a pagar que mostre o plano de contas e o centro de custo, mas tem lançamentos que é rateado entre centro de custo existe algum relatorio que apresente os dois centros de custos em que o lançamento foi rateado?",7826,6/10/2020,Fechada,Suporte Técnico,Ana,Duvida,MASSA
422,"Movimento - entrada de mercadorias - Importar xml

Ao importar o xml da nota seleciono uma cfop aleatória exemplo: cod 41, quando clico em próximo ele não salva a natureza de operação selecionada, ele sempre puxa a natureza de numero 24 que não consta no sistema.

!entrada.png!

base e xml disponivel em: https://drive.google.com/drive/folders/1bGfn8zDLEklFZllOicJ7O3zAZGALBb7a?usp=sharing",7824,6/10/2020,Fechada,Suporte Técnico,Ana,Importação de XML,METAL BRASIL
423,Erro de emissão de nota de serviço,7823,6/10/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota de serviço,ELETRO MOTORES NOVA REPUBLICA
424,"Cliente gostaria de verificar a possibilidade da inclusão do campo MODALIDADE DE FRETE na tela e no layout de ORÇAMENTO DE VENDA 

",8034,22/10/2020,Fechada,Suporte Técnico,Ana,Inclusão de campo,ADECCOR
425,"Cliente entrou em contato relatando que o Relatório está incorreto, pois não está considerando o valor do desconto no Campo Total.

Empresa 1 - Linhaço
Menu - Relatórios - Faturamento/Vendas - Geral
Emissão 01/11/2020 a 30/11/2020
Modelo - Sintético
!TelaRel.png!
!Rel.png!

O Campo Total do relatório não está considerando o valor do desconto.
Base: https://drive.google.com/file/d/1XiQdPoBu4JueIzcWj5XTn71w4JBwhocw/view?usp=sharing",8661,8/12/2020,Fechada,Suporte Técnico,Elaine,Relatório Vendas Geral - Campo total não subtrai valor desconto,LINHACO
426,"*Relatórios - Entradas - Preço de custo*
** Ao selecionar um item para sair no relatório, na impressão apresenta todos os itens ao invés de apenas o selecionado.


!relcusto1.png!
!relcusto.png!


Teste realizado nas bases da proffix e da Implanews, Versão V20.11.01",8587,1/12/2020,Fechada,Suporte Técnico,Ana,Relatório Preço de Custo,IMPLANEWS SURGICAL
427,Solicitada reinicialização do MasterNfe,9393,15/2/2021,Fechada,Suporte Técnico,Elaine,Reiniciar NFE,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
428,"foi arrumado a impressora , poderia verificar pois não esta imprimindo",8040,22/10/2020,Fechada,Suporte Técnico,Ana,impressora,BIOCRYSTAL
429,esta apresentando erro na emissao da nota fiscal apresente a seguinte mensagem FALHA NO SCHEMA DO XML,8041,22/10/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota,TITANIUM
430,nao esta enviando a nfe,7827,6/10/2020,Fechada,Suporte Técnico,Ana,nao esta enviando a nfe,LINHACO
431,"#7545 Layout conta corrente	CASA DA OBRA
#6966 Relatório de prestação de contas de cartões	CASA DA OBRA
#7516 Produto do pedido de venda nao retornou ao estoque	CASA DA OBRA
#6474 Lançamento de NFS de filiais de outras cidades COMPANHIA AMBIENTAL
#6473 Visualização de Projetos na liberação para faturamento de contratos COMPANHIA AMBIENTAL
#6475 Envio de e-mails de contratos COMPANHIA AMBIENTAL
#7652 Relatorio Fluxo de Caixa COMPANHIA AMBIENTAL
#7650 Relatório saldo das contas correntesCOMPANHIA AMBIENTAL
#6244 Inclusão de coluna na tela de orçamento / centro de custos COMPANHIA AMBIENTAL
#7772 Relatorio de Carregamento por PlacaCOPAVES - FRANGOS CANCAO
#7590 Relatorio de comissão FARMATEX DO BRASIL S/A
#7325 Quantidade mínima de venda FARMATEX DO BRASIL S/A
#7793 Erro no pedido de venda FARMATEX DO BRASIL S/A
#8106 Erro no envio da remessa IN VINO VERITAS
#8007 Peso líquido no DANFe LINHACO",8250,10/11/2020,Fechada,Suporte Técnico,Andre,Versao V20.11.01 MasterCom,MASTERCIM
432,poderia me acompanhar no processo de estorno de uma nota,8042,22/10/2020,Fechada,Suporte Técnico,Ana,auxilio estorno de nota,IMPLANEWS SURGICAL
433,Cliente entrou em contato pois desejava que fosse realizado ajuste substituindo uma O por uma letra A em uma linha de texto.,8045,22/10/2020,Fechada,Suporte Técnico,Cleverson,"Ajuste de layout de orçamento de Venda ""Consegue mudar para ""A""?""",MATERCIC
434,desbloqueio de orçamento no venda rapida,7828,6/10/2020,Fechada,Suporte Técnico,Ana,desbloqueio de venda rapida,MADECO
